"Date","Value"
"01/01/1915",0.51
"02/01/1915",0.51
"03/01/1915",0.51
"04/01/1915",0.51
"05/01/1915",0.51
"06/01/1915",0.51
"07/01/1915",0.51
"08/01/1915",0.51
"09/01/1915",0.51
"10/01/1915",0.51
"11/01/1915",0.51
"12/01/1915",0.51
"01/01/1916",0.67
"02/01/1916",0.67
"03/01/1916",0.67
"04/01/1916",0.67
"05/01/1916",0.67
"06/01/1916",0.67
"07/01/1916",0.67
"08/01/1916",0.67
"09/01/1916",0.67
"10/01/1916",0.67
"11/01/1916",0.67
"12/01/1916",0.67
"01/01/1917",0.84
"02/01/1917",0.84
"03/01/1917",0.84
"04/01/1917",0.84
"05/01/1917",0.84
"06/01/1917",0.84
"07/01/1917",0.84
"08/01/1917",0.84
"09/01/1917",0.84
"10/01/1917",0.84
"11/01/1917",0.84
"12/01/1917",0.84
"01/01/1918",0.98
"02/01/1918",0.98
"03/01/1918",0.98
"04/01/1918",0.98
"05/01/1918",0.98
"06/01/1918",0.98
"07/01/1918",0.98
"08/01/1918",0.98
"09/01/1918",0.98
"10/01/1918",0.98
"11/01/1918",0.98
"12/01/1918",0.98
"01/01/1919",1.13
"02/01/1919",1.13
"03/01/1919",1.13
"04/01/1919",1.13
"05/01/1919",1.13
"06/01/1919",1.13
"07/01/1919",1.13
"08/01/1919",1.13
"09/01/1919",1.13
"10/01/1919",1.13
"11/01/1919",1.13
"12/01/1919",1.13
"01/01/1920",1.03
"02/01/1920",1.03
"03/01/1920",1.03
"04/01/1920",1.03
"05/01/1920",1.03
"06/01/1920",1.03
"07/01/1920",1.03
"08/01/1920",1.03
"09/01/1920",1.03
"10/01/1920",1.03
"11/01/1920",1.03
"12/01/1920",1.03
"01/01/1921",0.63
"02/01/1921",0.63
"03/01/1921",0.63
"04/01/1921",0.63
"05/01/1921",0.63
"06/01/1921",0.63
"07/01/1921",0.63
"08/01/1921",0.63
"09/01/1921",0.63
"10/01/1921",0.63
"11/01/1921",0.63
"12/01/1921",0.63
"01/01/1922",0.68
"02/01/1922",0.68
"03/01/1922",0.68
"04/01/1922",0.68
"05/01/1922",0.68
"06/01/1922",0.68
"07/01/1922",0.68
"08/01/1922",0.68
"09/01/1922",0.68
"10/01/1922",0.68
"11/01/1922",0.68
"12/01/1922",0.68
"01/01/1923",0.65
"02/01/1923",0.65
"03/01/1923",0.65
"04/01/1923",0.65
"05/01/1923",0.65
"06/01/1923",0.65
"07/01/1923",0.65
"08/01/1923",0.65
"09/01/1923",0.65
"10/01/1923",0.65
"11/01/1923",0.65
"12/01/1923",0.65
"01/01/1924",0.67
"02/01/1924",0.67
"03/01/1924",0.67
"04/01/1924",0.67
"05/01/1924",0.67
"06/01/1924",0.67
"07/01/1924",0.67
"08/01/1924",0.67
"09/01/1924",0.67
"10/01/1924",0.67
"11/01/1924",0.67
"12/01/1924",0.67
"01/01/1925",0.69
"02/01/1925",0.69
"03/01/1925",0.69
"04/01/1925",0.69
"05/01/1925",0.69
"06/01/1925",0.69
"07/01/1925",0.69
"08/01/1925",0.69
"09/01/1925",0.69
"10/01/1925",0.69
"11/01/1925",0.69
"12/01/1925",0.69
"01/01/1926",0.62
"02/01/1926",0.62
"03/01/1926",0.62
"04/01/1926",0.62
"05/01/1926",0.62
"06/01/1926",0.62
"07/01/1926",0.62
"08/01/1926",0.62
"09/01/1926",0.62
"10/01/1926",0.62
"11/01/1926",0.62
"12/01/1926",0.62
"01/01/1927",0.57
"02/01/1927",0.57
"03/01/1927",0.57
"04/01/1927",0.57
"05/01/1927",0.57
"06/01/1927",0.57
"07/01/1927",0.57
"08/01/1927",0.57
"09/01/1927",0.57
"10/01/1927",0.57
"11/01/1927",0.57
"12/01/1927",0.57
"01/01/1928",0.58
"02/01/1928",0.58
"03/01/1928",0.58
"04/01/1928",0.58
"05/01/1928",0.58
"06/01/1928",0.58
"07/01/1928",0.58
"08/01/1928",0.58
"09/01/1928",0.58
"10/01/1928",0.58
"11/01/1928",0.58
"12/01/1928",0.58
"01/01/1929",0.53
"02/01/1929",0.53
"03/01/1929",0.53
"04/01/1929",0.53
"05/01/1929",0.53
"06/01/1929",0.53
"07/01/1929",0.53
"08/01/1929",0.53
"09/01/1929",0.53
"10/01/1929",0.53
