report_month,data_month,source_report_name,metric,category,currency_or_economy,value,unit,rmb_global_rank,notes
January 2026,December 2025,RMB Tracker,Global Payment Share,Currency Ranking,USD,50.49,%,,Rank 1
January 2026,December 2025,RMB Tracker,Global Payment Share,Currency Ranking,EUR,21.90,%,,Rank 2
January 2026,December 2025,RMB Tracker,Global Payment Share,Currency Ranking,GBP,6.73,%,,Rank 3
January 2026,December 2025,RMB Tracker,Global Payment Share,Currency Ranking,CAD,3.44,%,,Rank 4
January 2026,December 2025,RMB Tracker,Global Payment Share,Currency Ranking,JPY,3.42,%,,Rank 5
January 2026,December 2025,RMB Tracker,Global Payment Share,Currency Ranking,CNY,2.73,%,6,Rank 6
January 2026,December 2025,RMB Tracker,Global Payment Share,Currency Ranking,HKD,1.68,%,,Rank 7
January 2026,December 2025,RMB Tracker,Global Payment Share,Currency Ranking,AUD,1.60,%,,Rank 8
January 2026,December 2025,RMB Tracker,Global Payment Share,Currency Ranking,SGD,1.33,%,,Rank 9
January 2026,December 2025,RMB Tracker,Global Payment Share,Currency Ranking,CHF,0.95,%,,Rank 10
January 2026,December 2025,RMB Tracker,Global Payment Share,Currency Ranking,SEK,0.73,%,,Rank 11
January 2026,December 2025,RMB Tracker,Global Payment Share,Currency Ranking,PLN,0.72,%,,Rank 12
January 2026,December 2025,RMB Tracker,Global Payment Share,Currency Ranking,NOK,0.52,%,,Rank 13
January 2026,December 2025,RMB Tracker,Global Payment Share,Currency Ranking,DKK,0.33,%,,Rank 14
January 2026,December 2025,RMB Tracker,Global Payment Share,Currency Ranking,NZD,0.33,%,,Rank 15
January 2026,December 2025,RMB Tracker,Global Payment Share,Currency Ranking,MXN,0.32,%,,Rank 16
January 2026,December 2025,RMB Tracker,Global Payment Share,Currency Ranking,ZAR,0.30,%,,Rank 17
January 2026,December 2025,RMB Tracker,Global Payment Share,Currency Ranking,THB,0.28,%,,Rank 18
January 2026,December 2025,RMB Tracker,Global Payment Share,Currency Ranking,HUF,0.23,%,,Rank 19
January 2026,December 2025,RMB Tracker,Global Payment Share,Currency Ranking,MYR,0.23,%,,Rank 20
January 2026,December 2025,RMB Tracker,International Payment Share (ex-Eurozone),Currency Ranking,USD,58.62,%,,Rank 1
